
PROJECT REPORT
This report has been generated automatically on 2019-01-19 11:28:58.236 by RiACQUIRE ALS v2.3.4.175852 x86_64.
=PROJECT=
|DATA|
Name,Start (System),End (System)
LakeVermont_VQ780_190119,2019-01-19 09:31:18,

==SYSTEM==
|DEVICES|
Name,Type,Serial Number
INS-GPS 1,Applanix POS AV/LV/MV,9233
Scanner 1,VQ-780i,S2222940
Camera left,RIEGL-CS6,YC030228

==LASER CONFIGURATIONS==
|DATA|
Name,Type,Scanner SN,Channel No.,Height,Speed AGL,Scan Mode,Sequence Count,Standstill Multiplier,Log Mode / Meas Prog,Measurement Output,Monitor Step Multiplier,WFM Filter Mask,MTA Method,MTA Zone,NRS Level,PRR Alternation,High Sensitivity,Near Range Enable,Laser Beam Divergence,Line Start,Line Stop,Line Increment,Line Speed,Frame Start,Frame Stop,Frame Increment
1000m 135kn 1000 kHz (100%) 200lps Scanner 1,VQ-780i,S2222940,1,1000.000m,69.45,Line,0,1,1000 kHz (100%),RANGE ONLY,40,-1,DEM,1,0,0,OFF,OFF,0,60.000deg,120.000deg,0.0180deg,200.00,0.000deg,0.000deg,0.0000deg
ground test,VQ-780i,S2222940,1,0.000m,0.00,Line,0,1,1000 kHz (1%),RANGE ONLY,40,0,DEM,1,0,0,OFF,OFF,0,60.000deg,120.000deg,0.0060deg,66.67,0.000deg,0.000deg,0.0000deg

==CAMERA CONFIGURATIONS==
|DATA|
Name,Type,Trigger Mode,Preview Interval,Interval,Distance,Overlap,Auto Logging
POSTrack,RIEGL-CS6,External High,1.000s,1.000s,1.000m,30%,1

==ATMOSPHERIC CONDITIONS==
|DATA|
Date/Time,Height,Temperature @Height,Rel. Humidity @Height,Pressure @MSL
2019-01-18 23:32:34 / 84754.000,220.0m,27.0°C,70.0%,1016.0hPa

==POS DATA==
|FILES|
Device,File Name,File Size,Total Duration,Movement Duration,Standstill Duration,Distance
INS-GPS 1,190118_233310_INS-GPS_1.mon.igs,20.00MB,0.000s / 0s,0.000s / 0s,0.000s / 0s,0.000m

==RECORDS==
===Record001_Line9===
|FILES|
Device,File Name,File Size,File Status,Configuration
Scanner 1,190119_004633_Scanner_1.rxp,1.45GB,,1000m 135kn 1000 kHz (100%) 200lps Scanner 1
Camera left,190119_004639.eif,3.86kB / 1.50GB,,POSTrack

|START|
Device,File Name,Date/Time,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,Speed,Distance
Scanner 1,190119_004633_Scanner_1.rxp,2019-01-19 00:46:33 / 2793.533,-22.41696618deg,148.42786863deg,1196.767m,0.727deg,1.730deg,214.281deg,132.366kn,283768.156m
